rank,title,link
1,FAWK: LLMs can write a language interpreter,https://martin.janiczek.cz/2025/11/21/fawk-llms-can-write-a-language-interpreter.html
2,Olmo 3: Charting a path through the model flow to lead open-source AI,https://allenai.org/blog/olmo3
3,It's hard to build an oscillator,https://lcamtuf.substack.com/p/its-hard-to-build-an-oscillator
4,I converted a rotary phone into a meeting handset,https://www.stavros.io/posts/i-converted-a-rotary-phone-into-a-meeting-handset/
5,Open Source and Local Code Mode MCP in Deno Sandboxes,https://portofcontext.com
6,Nano Banana Pro,https://blog.google/technology/ai/nano-banana-pro/
7,Building a Minimal Viable Armv7 Emulator from Scratch,https://xnacly.me/posts/2025/building-a-minimal-viable-armv7-emulator/
8,"Scientists now know that bees can process time, a first in insects",https://www.cnn.com/2025/11/12/science/bees-visual-stimulus-study-scli-intl
9,"Android and iPhone users can now share files, starting with the Pixel 10",https://blog.google/products/android/quick-share-airdrop/
10,Roundtable (YC S23) Is Hiring Two Sales Development Representatives (SDRs),https://www.ycombinator.com/companies/roundtable/jobs/irJTEsg-sales-development-representative
11,WebAssembly from the Ground Up,https://wasmgroundup.com/
12,EXIF orientation info in PNGs isn't used for image-orientation,https://bugzilla.mozilla.org/show_bug.cgi?id=1627423
13,FEX-emu – Run x86 applications on ARM64 Linux devices,https://fex-emu.com/
14,Show HN: 32V TENS device from built from scratch under $100,https://littlemountainman.github.io/2025/11/17/tens/
15,New OS aims to provide (some) compatibility with macOS,https://github.com/ravynsoft/ravynos
16,Over-regulation is doubling the cost,https://rein.pk/over-regulation-is-doubling-the-cost
17,The Qtile Window Manager: A Python-Powered Tiling Experience,https://tech.stonecharioteer.com/posts/2025/qtile-window-manager/
18,"Ancient Roman Glass Reveals a Hidden ""Language""",https://nautil.us/ancient-roman-glass-reveals-a-hidden-language-1247932/
19,Okta's NextJS-0auth troubles,https://joshua.hu/ai-slop-okta-nextjs-0auth-security-vulnerability
20,Hilbert space: Treating functions as vectors,https://eli.thegreenplace.net/2025/hilbert-space-treating-functions-as-vectors/
21,HP and Dell disable HEVC support built into their laptops' CPUs,https://arstechnica.com/gadgets/2025/11/hp-and-dell-disable-hevc-support-built-into-their-laptops-cpus/
22,Data-at-Rest Encryption in DuckDB,https://duckdb.org/2025/11/19/encryption-in-duckdb
23,NTSB Preliminary Report – UPS Boeing MD-11F Crash [pdf],https://www.ntsb.gov/Documents/Prelimiary%20Report%20DCA26MA024.pdf
24,Free interactive tool that shows you how PCIe lanes work on motherboards,https://mobomaps.com
25,The Lions Operating System,https://lionsos.org
26,Show HN: F32 – An Extremely Small ESP32 Board,https://github.com/PegorK/f32
27,Adversarial poetry as a universal single-turn jailbreak mechanism in LLMs,https://arxiv.org/abs/2511.15304
28,iHeartRadio web has exposed all its source code,https://github.com/Gh0styTongue/iHeart-Frontend-Source-Code
29,Two recently found works of J.S. Bach presented in Leipzig [video],https://www.youtube.com/watch?v=4hXzUGYIL9M#t=15m19s
30,Historical Reasons,https://exple.tive.org/blarg/2025/11/11/historical-reasons-2/
